ID,molecule,iso-slug,formula,dataset,Tmax,mass,abundance,Main column,Main format,QN label,QN format
78,NiH,62Ni-1H,(62Ni)(1H),BYOT,10000,62.93617,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%84d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
79,OCS,16O-12C-32S,(16O)(12C)(32S),OYT8,5000,59.966986,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%85d","Grve,v1,v2,L2,v3,e/f","%3s,%2d,%2d,%2d,%2d,%1s"
80,OH,16O-1H,(16O)(1H),MYTHOS,10000,17.00274,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%86d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
81,PH,31P-1H,(31P)(1H),LaTY,4000,31.981587,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%87d","+/-,e/f,ElecState,v,N","%1s,%1s,%12s,%3d,%3d"
82,PN,31P-14N,(31P)(14N),PaiN,5000,44.976836,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%88d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
83,PS,31P-32S,(31P)(32S),POPS,5000,62.945833,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%89d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
84,SO,32S-16O,(32S)(16O),SOLUVIS,5000,47.966986,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%90d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
85,SO2,32S-16O2,(32S)(16O)2,ExoAmes,2000,63.9619,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%91d","+/-,v1,v2,v3,Ka,Kc","%1s,%2d,%2d,%2d,%2d,%2d"
86,SiN,28Si-14N,(28Si)(14N),SiNfull,10000,41.980001,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%92d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
87,SiN,28Si-15N,(28Si)(15N),SiNfull,10000,42.977035,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%93d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
88,SiN,29Si-14N,(29Si)(14N),SiNfull,10000,42.979569,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%94d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
89,SiN,30Si-14N,(30Si)(14N),SiNfull,10000,43.976844,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%95d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
90,SiO,28Si-16O,(28Si)(16O),SiOUVenIR,10000,43.971841,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%96d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
91,TiO,46Ti-16O,(46Ti)(16O),Toto,8000,61.947541,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%97d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
92,TiO,47Ti-16O,(47Ti)(16O),Toto,8000,62.946672,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%98d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
